dataset_id,subtask_A,subtask_B,subtask_C1,subtask_C2
1691,ABUS,GRP,0,0
3936,ABUS,GRP,0,0
10098,ABUS,IND,0,0
10606,ABUS,GRP,1,discredit
11703,ABUS,IND,0,0
178,ABUS,IND,0,0
1658,ABUS,GRP,1,neosex
20973,ABUS,UNT,0,0
15290,ABUS,GRP,1,discredit
18235,ABUS,GRP,0,0
3210,ABUS,IND,0,0
4010,ABUS,GRP,1,neosex
19531,ABUS,IND,0,0
20974,ABUS,IND,0,0
2509,ABUS,IND,0,0
14847,ABUS,OTH,0,0
24616,ABUS,GRP,1,sexual_harassment
10718,ABUS,IND,0,0
19072,ABUS,IND,0,0
17581,ABUS,OTH,0,0
7976,ABUS,UNT,0,0
20066,ABUS,GRP,1,neosex
14005,ABUS,GRP,1,neosex
17917,ABUS,UNT,0,0
4172,ABUS,GRP,1,neosex
7484,ABUS,IND,0,0
5632,ABUS,IND,0,0
1563,ABUS,IND,0,0
6932,ABUS,GRP,0,0
384,ABUS,GRP,0,0
11195,ABUS,UNT,0,0
8613,ABUS,IND,0,0
7663,ABUS,IND,0,0
6240,ABUS,GRP,1,stereotype
5548,ABUS,GRP,1,benevolent
3280,ABUS,UNT,0,0
18141,ABUS,GRP,1,neosex
6110,ABUS,OTH,0,0
25517,ABUS,IND,0,0
16507,ABUS,IND,0,0
24314,ABUS,IND,0,0
21946,ABUS,OTH,0,0
17685,ABUS,IND,0,0
7698,ABUS,IND,0,0
19985,ABUS,GRP,1,neosex
1187,ABUS,GRP,1,neosex
27748,ABUS,GRP,1,neosex
13223,ABUS,IND,0,0
1679,ABUS,IND,0,0
11648,ABUS,GRP,0,0
24358,ABUS,UNT,0,0
18728,ABUS,GRP,0,0
8072,ABUS,GRP,1,neosex
22398,ABUS,IND,0,0
3576,ABUS,IND,0,0
2540,ABUS,UNT,0,0
27690,ABUS,GRP,0,0
17611,ABUS,IND,0,0
1140,ABUS,UNT,0,0
17505,ABUS,GRP,1,neosex
12514,ABUS,GRP,1,neosex
1090,ABUS,IND,0,0
15108,ABUS,IND,0,0
14412,ABUS,UNT,0,0
10638,ABUS,UNT,0,0
6162,ABUS,GRP,0,0
3859,ABUS,IND,0,0
24220,ABUS,GRP,1,discredit
13978,ABUS,IND,0,0
14165,ABUS,IND,0,0
12970,ABUS,IND,0,0
4103,ABUS,GRP,1,neosex
5608,ABUS,IND,0,0
3385,ABUS,UNT,0,0
6226,ABUS,OTH,0,0
3569,ABUS,IND,0,0
23225,ABUS,IND,0,0
12901,ABUS,GRP,1,neosex
64,ABUS,GRP,0,0
19653,ABUS,GRP,1,neosex
25787,ABUS,GRP,1,sexual_harassment
4882,ABUS,IND,0,0
23374,ABUS,GRP,0,0
6356,ABUS,OTH,0,0
7489,ABUS,UNT,0,0
17660,ABUS,IND,0,0
1538,ABUS,IND,0,0
23939,ABUS,GRP,1,neosex
23050,ABUS,GRP,0,0
20406,ABUS,GRP,1,benevolent
10325,ABUS,GRP,0,0
12649,ABUS,UNT,0,0
17951,ABUS,IND,0,0
15158,ABUS,GRP,1,stereotype
3288,ABUS,IND,0,0
10994,ABUS,OTH,0,0
1065,ABUS,UNT,0,0
10813,ABUS,IND,0,0
17997,ABUS,IND,0,0
18588,ABUS,GRP,1,neosex
19396,ABUS,GRP,1,neosex
4041,ABUS,GRP,1,neosex
6366,ABUS,IND,0,0
4425,ABUS,GRP,1,stereotype
8631,ABUS,GRP,1,neosex
10880,ABUS,UNT,0,0
1048,ABUS,UNT,0,0
19205,ABUS,GRP,1,discredit
18967,ABUS,IND,0,0
18724,ABUS,GRP,0,0
3124,ABUS,IND,0,0
9097,ABUS,GRP,1,neosex
19824,ABUS,OTH,0,0
19867,ABUS,GRP,1,neosex
2190,ABUS,IND,0,0
10560,ABUS,GRP,1,neosex
13763,ABUS,OTH,0,0
17561,ABUS,OTH,0,0
7654,ABUS,OTH,0,0
13087,ABUS,IND,0,0
1420,ABUS,GRP,0,0
5256,ABUS,IND,0,0
25518,ABUS,GRP,0,0
13931,ABUS,OTH,0,0
12965,ABUS,IND,0,0
26595,ABUS,GRP,0,0
19179,ABUS,IND,0,0
750,ABUS,IND,0,0
13199,ABUS,UNT,0,0
9603,ABUS,OTH,0,0
6885,ABUS,GRP,1,neosex
25094,ABUS,GRP,1,stereotype
5635,ABUS,IND,0,0
9288,ABUS,OTH,0,0
19681,ABUS,GRP,1,discredit
13889,ABUS,GRP,1,neosex
14757,ABUS,UNT,0,0
7539,ABUS,IND,0,0
21678,ABUS,IND,0,0
20870,ABUS,GRP,0,0
13003,ABUS,IND,0,0
5104,ABUS,IND,0,0
19812,ABUS,IND,0,0
17624,ABUS,UNT,0,0
23930,ABUS,GRP,1,discredit
5724,ABUS,GRP,0,0
3315,ABUS,UNT,0,0
4846,ABUS,GRP,1,neosex
10922,ABUS,IND,0,0
17213,ABUS,GRP,0,0
13957,ABUS,OTH,0,0
11603,ABUS,GRP,1,neosex
3126,ABUS,UNT,0,0
9600,ABUS,IND,0,0
921,ABUS,IND,0,0
6439,ABUS,IND,0,0
5497,ABUS,IND,0,0
6865,ABUS,GRP,1,discredit
16814,ABUS,OTH,0,0
16994,ABUS,GRP,0,0
10769,ABUS,GRP,1,neosex
25674,ABUS,IND,0,0
2516,ABUS,IND,0,0
3681,ABUS,IND,0,0
19067,ABUS,IND,0,0
21014,ABUS,GRP,0,0
25302,ABUS,OTH,0,0
21344,ABUS,IND,0,0
10033,ABUS,GRP,1,neosex
12413,ABUS,UNT,0,0
21417,ABUS,IND,0,0
27589,ABUS,GRP,1,neosex
23803,ABUS,IND,0,0
14091,ABUS,IND,0,0
8929,ABUS,IND,0,0
1280,ABUS,GRP,0,0
11831,ABUS,IND,0,0
20987,ABUS,IND,0,0
11234,ABUS,GRP,1,stereotype
1647,ABUS,IND,0,0
25509,ABUS,IND,0,0
10949,ABUS,IND,0,0
26409,ABUS,GRP,1,neosex
23178,ABUS,IND,0,0
17471,ABUS,UNT,0,0
6357,ABUS,OTH,0,0
3229,ABUS,IND,0,0
10354,ABUS,OTH,0,0
14343,ABUS,IND,0,0
25806,ABUS,IND,0,0
3337,ABUS,IND,0,0
11942,ABUS,IND,0,0
24119,ABUS,IND,0,0
5312,ABUS,GRP,1,neosex
5542,ABUS,GRP,1,neosex
22601,ABUS,UNT,0,0
10245,ABUS,IND,0,0
9349,ABUS,GRP,1,discredit
12923,ABUS,UNT,0,0
3828,ABUS,IND,0,0
13890,ABUS,IND,0,0
6977,ABUS,GRP,1,neosex
17881,ABUS,IND,0,0
15109,ABUS,GRP,0,0
5388,ABUS,GRP,1,neosex
3011,ABUS,IND,0,0
26256,ABUS,GRP,1,discredit
19212,ABUS,IND,0,0
13472,ABUS,IND,0,0
11005,ABUS,UNT,0,0
13445,ABUS,OTH,0,0
26789,ABUS,GRP,1,discredit
10056,ABUS,IND,0,0
25838,ABUS,IND,0,0
21613,ABUS,GRP,0,0
2146,ABUS,IND,0,0
17651,ABUS,IND,0,0
17575,ABUS,IND,0,0
20593,ABUS,IND,0,0
7356,ABUS,IND,0,0
3669,ABUS,IND,0,0
9758,ABUS,UNT,0,0
23612,ABUS,IND,0,0
25734,ABUS,IND,0,0
22982,ABUS,IND,0,0
20357,ABUS,IND,0,0
24121,ABUS,UNT,0,0
24105,ABUS,GRP,0,0
27593,ABUS,GRP,1,neosex
27798,ABUS,GRP,1,discredit
18920,ABUS,GRP,1,neosex
3777,ABUS,IND,0,0
7804,ABUS,GRP,1,neosex
14604,ABUS,OTH,0,0
13376,ABUS,IND,0,0
13423,ABUS,IND,0,0
14475,ABUS,IND,0,0
10868,ABUS,IND,0,0
8932,ABUS,IND,0,0
10808,ABUS,IND,0,0
26013,ABUS,IND,0,0
6021,ABUS,GRP,1,neosex
13450,ABUS,IND,0,0
9403,ABUS,OTH,0,0
23416,ABUS,GRP,1,neosex
215,ABUS,IND,0,0
17806,ABUS,OTH,0,0
20168,ABUS,IND,0,0
18137,ABUS,GRP,1,neosex
18065,ABUS,IND,0,0
11536,ABUS,IND,0,0
23454,ABUS,IND,0,0
3586,ABUS,IND,0,0
20016,ABUS,IND,0,0
7400,ABUS,IND,0,0
8299,ABUS,IND,0,0
18028,ABUS,IND,0,0
8555,ABUS,IND,0,0
2057,ABUS,IND,0,0
10885,ABUS,IND,0,0
3248,ABUS,IND,0,0
10195,ABUS,OTH,0,0
4902,ABUS,IND,0,0
12881,ABUS,GRP,1,stereotype
23906,ABUS,UNT,0,0
14965,ABUS,GRP,1,neosex
3921,ABUS,GRP,1,neosex
1094,ABUS,IND,0,0
21534,ABUS,IND,0,0
13949,ABUS,GRP,1,stereotype
3358,ABUS,OTH,0,0
10629,ABUS,GRP,1,neosex
541,ABUS,IND,0,0
10715,ABUS,IND,0,0
20560,ABUS,IND,0,0
23034,ABUS,GRP,0,0
17428,ABUS,IND,0,0
5465,ABUS,GRP,1,stereotype
16957,ABUS,GRP,1,neosex
25774,ABUS,OTH,0,0
13036,ABUS,IND,0,0
22472,ABUS,GRP,1,neosex
17150,ABUS,GRP,1,neosex
14615,ABUS,GRP,0,0
8293,ABUS,OTH,0,0
11123,ABUS,IND,0,0
24506,ABUS,OTH,0,0
6191,ABUS,IND,0,0
19921,ABUS,GRP,1,dominance
6199,ABUS,GRP,1,neosex
19559,ABUS,GRP,1,neosex
7408,ABUS,IND,0,0
13200,ABUS,OTH,0,0
19394,ABUS,GRP,1,neosex
13913,ABUS,GRP,1,neosex
12573,ABUS,IND,0,0
19039,ABUS,IND,0,0
3674,ABUS,IND,0,0
8905,ABUS,UNT,0,0
7643,ABUS,IND,0,0
22583,ABUS,GRP,0,0
15202,ABUS,UNT,0,0
12761,ABUS,IND,0,0
7362,ABUS,IND,0,0
8847,ABUS,IND,0,0
4150,ABUS,GRP,1,stereotype
17627,ABUS,IND,0,0
6179,ABUS,GRP,1,neosex
20956,ABUS,IND,0,0
8865,ABUS,IND,0,0
25729,ABUS,UNT,0,0
13731,ABUS,IND,0,0
3817,ABUS,IND,0,0
13741,ABUS,IND,0,0
9246,ABUS,OTH,0,0
16693,ABUS,GRP,1,neosex
7178,ABUS,GRP,1,neosex
14899,ABUS,IND,0,0
25438,ABUS,GRP,1,discredit
21443,ABUS,IND,0,0
3243,ABUS,IND,0,0
8190,ABUS,IND,0,0
6525,ABUS,GRP,1,neosex
2541,ABUS,IND,0,0
26175,ABUS,OTH,0,0
8788,ABUS,GRP,1,neosex
8086,ABUS,IND,0,0
18475,ABUS,IND,0,0
20262,ABUS,IND,0,0
13033,ABUS,IND,0,0
1128,ABUS,GRP,1,neosex
11921,ABUS,OTH,0,0
1083,ABUS,IND,0,0
19003,ABUS,GRP,1,neosex
5343,ABUS,OTH,0,0
20127,ABUS,OTH,0,0
21027,ABUS,IND,0,0
658,ABUS,GRP,1,discredit
12783,ABUS,IND,0,0
9112,ABUS,IND,0,0
24398,ABUS,GRP,0,0
12855,ABUS,UNT,0,0
17838,ABUS,IND,0,0
25255,ABUS,GRP,1,benevolent
21736,ABUS,GRP,0,0
23888,ABUS,OTH,0,0
15949,ABUS,IND,0,0
5398,ABUS,IND,0,0
19148,ABUS,UNT,0,0
21021,ABUS,OTH,0,0
14765,ABUS,GRP,0,0
19469,ABUS,IND,0,0
22277,ABUS,UNT,0,0
13282,ABUS,IND,0,0
523,ABUS,GRP,0,0
18369,ABUS,IND,0,0
17214,ABUS,GRP,1,stereotype
17293,ABUS,GRP,0,0
20230,ABUS,UNT,0,0
19369,ABUS,IND,0,0
7829,ABUS,IND,0,0
18128,ABUS,GRP,1,neosex
21264,ABUS,UNT,0,0
18590,ABUS,GRP,0,0
8544,ABUS,OTH,0,0
19676,ABUS,GRP,1,discredit
7785,ABUS,OTH,0,0
17211,ABUS,GRP,1,discredit
3320,ABUS,UNT,0,0
18194,ABUS,GRP,1,neosex
8940,ABUS,IND,0,0
22288,ABUS,UNT,0,0
9466,ABUS,IND,0,0
23833,ABUS,OTH,0,0
17572,ABUS,IND,0,0
3250,ABUS,IND,0,0
8523,ABUS,IND,0,0
4047,ABUS,IND,0,0
2682,ABUS,UNT,0,0
2928,ABUS,UNT,0,0
22891,ABUS,OTH,0,0
7567,ABUS,IND,0,0
17178,ABUS,GRP,1,neosex
24882,ABUS,UNT,0,0
11769,ABUS,UNT,0,0
10860,ABUS,IND,0,0
12599,ABUS,UNT,0,0
13099,ABUS,OTH,0,0
24448,ABUS,GRP,1,discredit
7629,ABUS,GRP,1,neosex
20308,ABUS,IND,0,0
18449,ABUS,IND,0,0
13755,ABUS,OTH,0,0
738,ABUS,GRP,1,neosex
6760,ABUS,UNT,0,0
3157,ABUS,OTH,0,0
3974,ABUS,GRP,1,stereotype
2101,ABUS,GRP,0,0
17502,ABUS,IND,0,0
7547,ABUS,IND,0,0
18234,ABUS,IND,0,0
6627,ABUS,GRP,1,neosex
9081,ABUS,UNT,0,0
2698,ABUS,GRP,1,neosex
9305,ABUS,OTH,0,0
9500,ABUS,GRP,1,neosex
3503,ABUS,UNT,0,0
24752,ABUS,UNT,0,0
6239,ABUS,OTH,0,0
3386,ABUS,UNT,0,0
22742,ABUS,IND,0,0
4698,ABUS,GRP,1,neosex
3109,ABUS,UNT,0,0
14567,ABUS,UNT,0,0
3225,ABUS,IND,0,0
2617,ABUS,IND,0,0
3542,ABUS,UNT,0,0
19468,ABUS,UNT,0,0
19931,ABUS,OTH,0,0
6531,ABUS,GRP,1,dominance
17813,ABUS,IND,0,0
14724,ABUS,OTH,0,0
3518,ABUS,IND,0,0
7611,ABUS,IND,0,0
22564,ABUS,GRP,0,0
5166,ABUS,GRP,1,neosex
13990,ABUS,IND,0,0
13265,ABUS,IND,0,0
3549,ABUS,GRP,1,neosex
9618,ABUS,GRP,1,sexual_harassment
16981,ABUS,GRP,1,benevolent
3107,ABUS,IND,0,0
20227,ABUS,GRP,1,neosex
959,ABUS,IND,0,0
1532,ABUS,GRP,0,0
9981,ABUS,IND,0,0
6094,ABUS,IND,0,0
4676,ABUS,GRP,0,0
9385,ABUS,GRP,1,stereotype
16337,ABUS,IND,0,0
5599,ABUS,IND,0,0
8476,ABUS,GRP,1,neosex
19807,ABUS,IND,0,0
17799,ABUS,UNT,0,0
19035,ABUS,GRP,1,neosex
8543,ABUS,IND,0,0
3821,ABUS,IND,0,0
21846,ABUS,GRP,0,0
19357,ABUS,GRP,1,neosex
1067,ABUS,GRP,1,neosex
19843,ABUS,GRP,1,neosex
17977,ABUS,IND,0,0
7496,ABUS,GRP,1,neosex
1510,ABUS,GRP,0,0
22092,ABUS,OTH,0,0
9602,ABUS,IND,0,0
1257,ABUS,IND,0,0
13589,ABUS,IND,0,0
7417,ABUS,IND,0,0
5490,ABUS,GRP,0,0
19449,ABUS,IND,0,0
26465,ABUS,GRP,0,0
17795,ABUS,IND,0,0
8599,ABUS,IND,0,0
20236,ABUS,GRP,0,0
6894,ABUS,GRP,0,0
14202,ABUS,IND,0,0
19461,ABUS,IND,0,0
25220,ABUS,GRP,1,neosex
5278,ABUS,GRP,0,0
26345,ABUS,IND,0,0
10823,ABUS,GRP,1,neosex
27455,ABUS,OTH,0,0
1414,ABUS,IND,0,0
12449,ABUS,OTH,0,0
9114,ABUS,GRP,0,0
19952,ABUS,UNT,0,0
12318,ABUS,IND,0,0
16347,ABUS,OTH,0,0
19939,ABUS,GRP,1,neosex
12536,ABUS,IND,0,0
18492,ABUS,GRP,1,discredit
3137,ABUS,UNT,0,0
17613,ABUS,OTH,0,0
3449,ABUS,IND,0,0
23417,ABUS,GRP,1,stereotype
2183,ABUS,IND,0,0
13788,ABUS,UNT,0,0
9469,ABUS,UNT,0,0
23406,ABUS,IND,0,0
18169,ABUS,OTH,0,0
23464,ABUS,GRP,1,discredit
11879,ABUS,IND,0,0
19114,ABUS,IND,0,0
17677,ABUS,IND,0,0
18655,ABUS,GRP,1,stereotype
275,ABUS,GRP,1,stereotype
10904,ABUS,UNT,0,0
4007,ABUS,OTH,0,0
9409,ABUS,GRP,1,neosex
8174,ABUS,GRP,1,neosex
6073,ABUS,IND,0,0
7468,ABUS,GRP,1,neosex
7501,ABUS,OTH,0,0
10727,ABUS,IND,0,0
10041,ABUS,OTH,0,0
9923,ABUS,GRP,1,neosex
9068,ABUS,IND,0,0
7524,ABUS,OTH,0,0
11009,ABUS,IND,0,0
25611,ABUS,GRP,0,0
10706,ABUS,IND,0,0
20073,ABUS,GRP,1,neosex
12388,ABUS,GRP,1,neosex
3197,ABUS,UNT,0,0
16425,ABUS,IND,0,0
11006,ABUS,IND,0,0
1144,ABUS,GRP,0,0
3138,ABUS,IND,0,0
5022,ABUS,OTH,0,0
6280,ABUS,IND,0,0
11606,ABUS,GRP,1,neosex
7842,ABUS,GRP,1,benevolent
4730,ABUS,GRP,1,discredit
13192,ABUS,GRP,1,sexual_harassment
1371,ABUS,OTH,0,0
21822,ABUS,UNT,0,0
5204,ABUS,GRP,1,neosex
7083,ABUS,GRP,1,neosex
5457,ABUS,UNT,0,0
1179,ABUS,IND,0,0
10502,ABUS,GRP,1,neosex
12392,ABUS,OTH,0,0
4675,ABUS,OTH,0,0
19130,ABUS,GRP,1,discredit
7466,ABUS,GRP,1,neosex
742,ABUS,IND,0,0
10287,ABUS,UNT,0,0
26342,ABUS,IND,0,0
19354,ABUS,OTH,0,0
730,ABUS,IND,0,0
6168,ABUS,GRP,1,neosex
9146,ABUS,OTH,0,0
17925,ABUS,UNT,0,0
12023,ABUS,GRP,1,neosex
8369,ABUS,OTH,0,0
16016,ABUS,GRP,0,0
9566,ABUS,GRP,1,discredit
10322,ABUS,GRP,0,0
13531,ABUS,UNT,0,0
3955,ABUS,IND,0,0
5403,ABUS,GRP,0,0
18316,ABUS,GRP,1,stereotype
7568,ABUS,IND,0,0
18398,ABUS,GRP,0,0
20654,ABUS,UNT,0,0
20587,ABUS,GRP,0,0
3461,ABUS,IND,0,0
8943,ABUS,UNT,0,0
6445,ABUS,UNT,0,0
17601,ABUS,IND,0,0
7215,ABUS,IND,0,0
1142,ABUS,UNT,0,0
13518,ABUS,OTH,0,0
7528,ABUS,IND,0,0
6648,ABUS,GRP,1,benevolent
4497,ABUS,GRP,1,stereotype
3738,ABUS,IND,0,0
4704,ABUS,GRP,1,neosex
11018,ABUS,GRP,1,neosex
20109,ABUS,GRP,1,neosex
10092,ABUS,UNT,0,0
9796,ABUS,IND,0,0
9473,ABUS,OTH,0,0
1180,ABUS,UNT,0,0
25093,ABUS,IND,0,0
20103,ABUS,IND,0,0
9521,ABUS,GRP,1,neosex
10785,ABUS,IND,0,0
17394,ABUS,GRP,1,neosex
22956,ABUS,GRP,1,neosex
1681,ABUS,IND,0,0
22579,ABUS,GRP,0,0
15398,ABUS,IND,0,0
3648,ABUS,IND,0,0
11452,ABUS,IND,0,0
18833,ABUS,GRP,1,stereotype
1855,ABUS,UNT,0,0
6664,ABUS,GRP,1,discredit
12035,ABUS,GRP,1,neosex
17947,ABUS,UNT,0,0
16346,ABUS,IND,0,0
5319,ABUS,UNT,0,0
12508,ABUS,IND,0,0
18068,ABUS,GRP,1,discredit
25138,ABUS,GRP,1,stereotype
18215,ABUS,GRP,1,neosex
16466,ABUS,IND,0,0
9313,ABUS,UNT,0,0
5545,ABUS,OTH,0,0
22309,ABUS,UNT,0,0
21454,ABUS,OTH,0,0
19138,ABUS,GRP,1,neosex
18456,ABUS,OTH,0,0
7396,ABUS,IND,0,0
12269,ABUS,GRP,1,neosex
20033,ABUS,IND,0,0
1194,ABUS,OTH,0,0
26327,ABUS,UNT,0,0
21187,ABUS,GRP,0,0
17366,ABUS,IND,0,0
26128,ABUS,OTH,0,0
8342,ABUS,IND,0,0
933,ABUS,IND,0,0
1609,ABUS,IND,0,0
8037,ABUS,UNT,0,0
20712,ABUS,UNT,0,0
9756,ABUS,IND,0,0
8862,ABUS,IND,0,0
17475,ABUS,UNT,0,0
1429,ABUS,OTH,0,0
22809,ABUS,GRP,1,dominance
5350,ABUS,UNT,0,0
27741,ABUS,OTH,0,0
19650,ABUS,GRP,1,discredit
25091,ABUS,OTH,0,0
6550,ABUS,GRP,1,neosex
23290,ABUS,GRP,1,neosex
4203,ABUS,GRP,1,stereotype
22713,ABUS,GRP,0,0
1165,ABUS,IND,0,0
24246,ABUS,UNT,0,0
22330,ABUS,GRP,0,0
620,ABUS,GRP,1,discredit
12494,ABUS,IND,0,0
8386,ABUS,IND,0,0
3260,ABUS,IND,0,0
10678,ABUS,GRP,1,stereotype
25954,ABUS,IND,0,0
22214,ABUS,IND,0,0
17231,ABUS,GRP,0,0
20832,ABUS,GRP,1,discredit
19510,ABUS,GRP,1,discredit
1474,ABUS,GRP,1,sexual_harassment
16061,ABUS,OTH,0,0
975,ABUS,IND,0,0
11420,ABUS,GRP,0,0
21281,ABUS,IND,0,0
18360,ABUS,IND,0,0
3133,ABUS,GRP,1,discredit
25900,ABUS,GRP,1,dominance
10494,ABUS,GRP,1,neosex
8533,ABUS,UNT,0,0
20113,ABUS,GRP,1,neosex
9575,ABUS,IND,0,0
9185,ABUS,IND,0,0
26291,ABUS,UNT,0,0
19063,ABUS,IND,0,0
3843,ABUS,IND,0,0
8767,ABUS,IND,0,0
12743,ABUS,OTH,0,0
18520,ABUS,IND,0,0
4214,ABUS,OTH,0,0
19236,ABUS,GRP,0,0
23954,ABUS,IND,0,0
23156,ABUS,GRP,0,0
6274,ABUS,OTH,0,0
26179,ABUS,UNT,0,0
8944,ABUS,IND,0,0
3604,ABUS,GRP,0,0
3584,ABUS,OTH,0,0
10472,ABUS,IND,0,0
18862,ABUS,UNT,0,0
22384,ABUS,GRP,0,0
12358,ABUS,GRP,1,neosex
26257,ABUS,UNT,0,0
270,ABUS,IND,0,0
18514,ABUS,GRP,1,discredit
22311,ABUS,IND,0,0
19990,ABUS,GRP,1,neosex
12832,ABUS,IND,0,0
10795,ABUS,IND,0,0
17692,ABUS,IND,0,0
8141,ABUS,UNT,0,0
